--------------------------------------------------------------------
Target: RPI 
Date: 07/07/16
--------------------------------------------------------------------
TIME_AT_PI:2016-07-07 20:30:19 -0400 	TEMP:13.548 C 	LIGHT:0.684 	
TIME_AT_PI:2016-07-07 20:30:24 -0400 	TEMP:13.548 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:30:30 -0400 	TEMP:13.226 C 	LIGHT:2.835 	
TIME_AT_PI:2016-07-07 20:30:34 -0400 	TEMP:13.548 C 	LIGHT:3.519 	
TIME_AT_PI:2016-07-07 20:30:40 -0400 	TEMP:13.548 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:30:45 -0400 	TEMP:13.548 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:30:51 -0400 	TEMP:13.226 C 	LIGHT:3.715 	
TIME_AT_PI:2016-07-07 20:30:57 -0400 	TEMP:13.226 C 	LIGHT:3.030 	
--------------------------------------------------------------------
Target: RPI
Date: 07/07/16
--------------------------------------------------------------------
TIME_AT_PI:2016-07-07 20:49:37 -0400 	TEMP:13.548 C 	LIGHT:3.030 	
TIME_AT_PI:2016-07-07 20:49:37 -0400 	TEMP:13.548 C 	LIGHT:3.030 	
TIME_AT_PI:2016-07-07 20:49:42 -0400 	TEMP:13.226 C 	LIGHT:2.933 	
TIME_AT_PI:2016-07-07 20:49:37 -0400 	TEMP:13.548 C 	LIGHT:3.030 	
TIME_AT_PI:2016-07-07 20:49:42 -0400 	TEMP:13.226 C 	LIGHT:2.933 	
TIME_AT_PI:2016-07-07 20:49:48 -0400 	TEMP:13.548 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:49:37 -0400 	TEMP:13.548 C 	LIGHT:3.030 	
TIME_AT_PI:2016-07-07 20:49:42 -0400 	TEMP:13.226 C 	LIGHT:2.933 	
TIME_AT_PI:2016-07-07 20:49:48 -0400 	TEMP:13.548 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:49:53 -0400 	TEMP:13.871 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:49:37 -0400 	TEMP:13.548 C 	LIGHT:3.030 	
TIME_AT_PI:2016-07-07 20:49:42 -0400 	TEMP:13.226 C 	LIGHT:2.933 	
TIME_AT_PI:2016-07-07 20:49:48 -0400 	TEMP:13.548 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:49:53 -0400 	TEMP:13.871 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:49:59 -0400 	TEMP:13.548 C 	LIGHT:1.271 	
TIME_AT_PI:2016-07-07 20:49:37 -0400 	TEMP:13.548 C 	LIGHT:3.030 	
TIME_AT_PI:2016-07-07 20:49:42 -0400 	TEMP:13.226 C 	LIGHT:2.933 	
